# backend=neuralfoil
# airfoil=NACA2409
# model_size=small
# mach_model=incompressible_replicated
# generated_offline=true
airfoil,alpha_deg,reynolds,mach,cl,cd,cm,confidence
NACA2409,-80,158740.1052,0,0.06313392028,0.20545556,0.01293154491,5.562684646e-308
NACA2409,-80,158740.1052,0.1,0.06313392028,0.20545556,0.01293154491,5.562684646e-308
NACA2409,-80,158740.1052,0.2,0.06313392028,0.20545556,0.01293154491,5.562684646e-308
NACA2409,-80,158740.1052,0.3,0.06313392028,0.20545556,0.01293154491,5.562684646e-308
NACA2409,-80,299069.7562,0,-0.04246676,0.2749359295,0.02567969773,5.562684646e-308
NACA2409,-80,299069.7562,0.1,-0.04246676,0.2749359295,0.02567969773,5.562684646e-308
NACA2409,-80,299069.7562,0.2,-0.04246676,0.2749359295,0.02567969773,5.562684646e-308
NACA2409,-80,299069.7562,0.3,-0.04246676,0.2749359295,0.02567969773,5.562684646e-308
NACA2409,-80,563453.8228,0,-0.1645216016,0.3070508278,0.03195544154,5.562684646e-308
NACA2409,-80,563453.8228,0.1,-0.1645216016,0.3070508278,0.03195544154,5.562684646e-308
NACA2409,-80,563453.8228,0.2,-0.1645216016,0.3070508278,0.03195544154,5.562684646e-308
NACA2409,-80,563453.8228,0.3,-0.1645216016,0.3070508278,0.03195544154,5.562684646e-308
NACA2409,-80,1061559.064,0,-0.1899770531,0.2292060385,0.03210940003,5.562684646e-308
NACA2409,-80,1061559.064,0.1,-0.1899770531,0.2292060385,0.03210940003,5.562684646e-308
NACA2409,-80,1061559.064,0.2,-0.1899770531,0.2292060385,0.03210940003,5.562684646e-308
NACA2409,-80,1061559.064,0.3,-0.1899770531,0.2292060385,0.03210940003,5.562684646e-308
NACA2409,-80,2000000,0,-0.3036469104,0.1534200049,0.04584531423,5.562684646e-308
NACA2409,-80,2000000,0.1,-0.3036469104,0.1534200049,0.04584531423,5.562684646e-308
NACA2409,-80,2000000,0.2,-0.3036469104,0.1534200049,0.04584531423,5.562684646e-308
NACA2409,-80,2000000,0.3,-0.3036469104,0.1534200049,0.04584531423,5.562684646e-308
NACA2409,-75,1000,0,-0.51103728,0.1870835216,0.1018574849,5.562684646e-308
NACA2409,-75,1000,0.1,-0.51103728,0.1870835216,0.1018574849,5.562684646e-308
NACA2409,-75,1000,0.2,-0.51103728,0.1870835216,0.1018574849,5.562684646e-308
NACA2409,-75,1000,0.3,-0.51103728,0.1870835216,0.1018574849,5.562684646e-308
NACA2409,-75,1884.021406,0,-0.423396323,0.1345416147,0.09542433282,5.562684646e-308
NACA2409,-75,1884.021406,0.1,-0.423396323,0.1345416147,0.09542433282,5.562684646e-308
NACA2409,-75,1884.021406,0.2,-0.423396323,0.1345416147,0.09542433282,5.562684646e-308
NACA2409,-75,1884.021406,0.3,-0.423396323,0.1345416147,0.09542433282,5.562684646e-308
NACA2409,-75,3549.53666,0,-0.33357605,0.09750409779,0.08551210655,5.562684646e-308
NACA2409,-75,3549.53666,0.1,-0.33357605,0.09750409779,0.08551210655,5.562684646e-308
NACA2409,-75,3549.53666,0.2,-0.33357605,0.09750409779,0.08551210655,5.562684646e-308
NACA2409,-75,3549.53666,0.3,-0.33357605,0.09750409779,0.08551210655,5.562684646e-308
NACA2409,-75,6687.40305,0,-0.2557134397,0.07750620039,0.07205003174,5.562684646e-308
NACA2409,-75,6687.40305,0.1,-0.2557134397,0.07750620039,0.07205003174,5.562684646e-308
NACA2409,-75,6687.40305,0.2,-0.2557134397,0.07750620039,0.07205003174,5.562684646e-308
NACA2409,-75,6687.40305,0.3,-0.2557134397,0.07750620039,0.07205003174,5.562684646e-308
NACA2409,-75,12599.2105,0,-0.2158899913,0.07234117111,0.06073964106,5.562684646e-308
NACA2409,-75,12599.2105,0.1,-0.2158899913,0.07234117111,0.06073964106,5.562684646e-308
NACA2409,-75,12599.2105,0.2,-0.2158899913,0.07234117111,0.06073964106,5.562684646e-308
NACA2409,-75,12599.2105,0.3,-0.2158899913,0.07234117111,0.06073964106,5.562684646e-308
NACA2409,-75,23737.18228,0,-0.1347513179,0.07508218158,0.05208083754,5.562684646e-308
NACA2409,-75,23737.18228,0.1,-0.1347513179,0.07508218158,0.05208083754,5.562684646e-308
NACA2409,-75,23737.18228,0.2,-0.1347513179,0.07508218158,0.05208083754,5.562684646e-308
NACA2409,-75,23737.18228,0.3,-0.1347513179,0.07508218158,0.05208083754,5.562684646e-308
NACA2409,-75,44721.35955,0,-0.02968830247,0.09699142763,0.04435446521,5.562684646e-308
NACA2409,-75,44721.35955,0.1,-0.02968830247,0.09699142763,0.04435446521,5.562684646e-308
NACA2409,-75,44721.35955,0.2,-0.02968830247,0.09699142763,0.04435446521,5.562684646e-308
NACA2409,-75,44721.35955,0.3,-0.02968830247,0.09699142763,0.04435446521,5.562684646e-308
NACA2409,-75,84255.99872,0,0.04757605366,0.1262476556,0.03784541392,5.562684646e-308
NACA2409,-75,84255.99872,0.1,0.04757605366,0.1262476556,0.03784541392,5.562684646e-308
NACA2409,-75,84255.99872,0.2,0.04757605366,0.1262476556,0.03784541392,5.562684646e-308
NACA2409,-75,84255.99872,0.3,0.04757605366,0.1262476556,0.03784541392,5.562684646e-308
